77/10 02S 146E     3 
77/10 03S 149E     7 
77/10 04S 150E    13 
                     AY02118                U    
77/10 04S 151E     2 
77/10 04S 153E     1 
77/10 06S 152E     2 
77/10 08S 155E  1177 
                     AB07070 77/10 08S 155E PL   
                     AB07070 77/10 08S 155E PL   
                     AB07070 77/10 08S 155E PL   
                     AB07070 77/10 08S 155E PL   
                     AB07194 78/05 09S 160E PL SB
                     AB05432 78/06 03S 150E PL PG
                     AB06825 78/09 10S 158E PL SB
                     AB05783 78/09 10S 159E PL SB
                     AB07162 78/12 09S 158E PL SB
                     AB05572 78/12 09S 159E PL SB
                     AB05755 78/12 09S 159E PL SB
                     AB07401 78/12 10S 159E PL SB
                     AB06919                U    
77/11 08S 155E    11 
77/11 08S 157E    65 
                     AB07338 77/12 10S 159E PL SB
                     AB07349 79/01 09S 159E PL SB
77/11 08S 158E     5 
77/11 09S 157E     1 
77/11 09S 158E  1512 
                     AY02992 77/11          PL SB
                     AY02270 77/11          PL SB
                     AY02407 77/11          PL SB
                     AY02337 77/11 09S 157E PL SB
                     AY02339 77/11 09S 158E PL   
                     AB07264 77/11 09S 158E PL SB
                     AY02519 77/11 09S 158E PL SB
                     AY02433 77/11 09S 158E PL SB
                     AY02135 77/11 09S 159E PL SB
                     AY03080 77/11 09S 159E PL SB
                     AY03314 77/11 09S 159E PL SB
                     AY03147 77/11 10S 159E PL SB
                     AY03364 77/11 10S 159E PL SB
                     AY03236 77/11 10S 159E PL SB
                     AY03402 77/11 10S 159E PL SB
                     AY02162 77/11 10S 159E PL SB
                     AY02444 77/11 10S 159E PL SB
                     AY02526 77/11 10S 159E PL SB
                     AY02423 77/11 10S 160E PL SB
                     AY02259 77/12 09S 156E PL SB
                     AB07487 77/12 09S 158E PL SB
                     AY02235 77/12 09S 158E PL SB
                     AY02913 77/12 09S 158E PL SB
                     AY02541 77/12 09S 159E PL SB
                     AY03866 77/12 10S 158E PL SB
                     AY02329 77/12 10S 159E PL SB
                     AY03283 78/03          PL SB
                     AY02182 78/04 08S 157E PL SB
                     AY02363 78/04 09S 160E PL SB
                     AY03381 78/05 04S 150E PL PG
                     AY03042 78/05 08S 157E PL SB
                     AY03956 78/05 08S 157E PL SB
                     AY03375 78/05 09S 156E PL SB
                     AY03388 78/05 09S 156E PL SB
                     AY02410 78/05 09S 160E PL SB
                     AY02276 78/06 03S 150E PL PG
                     AY03041 78/06 03S 150E PL PG
                     AY03939 78/06 04S 150E PL PG
                     AY02994 78/06 09S 158E PL SB
                     AY03937 78/07 09S 157E PL SB
                     AY03118 78/07 10S 159E PL SB
                     AY03546 78/07          PL SB
                     AY02304 78/07          PL SB
                     AY02722 78/07          PL SB
                     AY02713 78/08 09S 159E PL SB
                     AY02809 78/08 10S 158E PL SB
                     AY02820 78/08 10S 159E PL SB
                     AY02314 78/09          PL SB
                     AY03927 78/09 09S 158E PL SB
                     AY02338 78/09 10S 158E PL SB
                     AY02658 78/10 09S 156E PL SB
                     AY02980 78/10 10S 159E PL SB
                     AY03525 78/10 10S 159E PL SB
                     AY03963 78/10 10S 159E PL SB
                     AY03076 78/10 10S 160E PL SB
                     AY03103 78/10 12S 159E PL SB
                     AY02917 78/11          PL SB
                     AY02486 78/11 10S 159E PL SB
                     AY03282 78/11 10S 159E PL SB
                     AY03191 78/12 09S 158E PL SB
                     AY03905 78/12 09S 158E PL SB
                     AY03266 78/12 09S 158E PL SB
                     AY02810 78/12 09S 158E PL SB
                     AY02472 79/04 09S 159E PL SB
                     AY02647 79/04 09S 160E PL SB
                     AY02313                PL SB
                     AY02404                PL SB
                     AY02971                PL SB
                     AB07260                U    
                     AY02679                U    
                     AY03274                U  JP
77/11 09S 159E    38 
                     AY03641 78/04 09S 160E PL SB
                     AY03655 78/09 10S 158E PL SB
                     AY03636 78/10 10S 160E PL JP
                     AY03347 78/12 08S 156E PL SB
77/11 10S 158E   135 
                     AY02763 77/11 10S 158E PL SB
                     AY03012 77/11 10S 159E PL SB
                     AY02862 77/12 09S 158E PL SB
                     AY02922 77/12 09S 158E PL SB
                     AY02927 78/09 10S 158E PL SB
                     AY02928 78/11 08S 157E PL SB
                     AY02876 78/11 10S 159E PL SB
77/11 10S 159E     6 
77/11 11S 160E    91 
77/12 12S 165E   422 
                     AY04409 78/02 02S 168E PL JP
                     AY04336 78/11 09S 160E PL SB
77/12 17S 167E    54 
                     AY04271 78/01 17S 167E PL   
77/12 21S 165E  2352 
                     SA04617 77/12 21S 165E PL   
                     SA00725 77/12 22S 165E PL   
                     SA01499 78/02 22S 165E PL NC
                     SA04728                U    
77/12 22S 165E  2472 
                     SA00725 77/12 22S 165E PL   
                     AY04669 78/01 22S 166E PL   
                     AY05386 78/02 23S 167E T  NC
                     SA03036 78/07 10S 158E PL SB
                     AY05307                U    
77/12 22S 166E  1384 
                     AY05960 78/01 22S 166E PL   
                     AY06525 78/01 22S 166E PL   
                     SA00995 78/01 22S 166E PL   
                     SA01516 78/07 03S 150E PL PG
                     AY06564 79/03 13N 146E PL JP
77/12 23S 166E   452 
                     SA05113 80/01 13S 159E PL JP
78/01 17S 167E   752 
                     SB00322 78/01 17S 167E PL   
                     SA09340 78/10 08S 157E PL SB
                     SA09760 78/10 10S 159E PL SB
