1977/01 16S 180W       1       2.00
1977/01 18S 178E       1       1.90
1977/01 18S 179E      19      72.80
1977/01 19S 177E       3      12.80
1977/01 19S 178E       9      22.30
1977/01 20S 177E      10      77.50
1977/01 20S 178E       3      15.00
1977/01 20S 180W       1       7.90
1977/02 17S 179E       3       3.40
1977/02 18S 179E       2       4.10
1977/02 19S 177E       2       3.60
1977/02 19S 178E       5       9.30
1977/02 19S 179E       3       6.00
1977/02 20S 177E      18     110.60
1977/02 20S 178E       5      21.60
1977/03 17S 179E      11      18.20
1977/03 17S 179W       1       2.20
1977/03 18S 178E       7      21.40
1977/03 18S 179E      27      91.30
1977/03 18S 180W       4      12.30
1977/03 20S 177E      19      59.40
1977/04 16S 179E       9      31.40
1977/04 16S 180W       4      20.60
1977/04 17S 179E      21      58.80
1977/04 17S 179W       3      12.30
1977/04 17S 180W       8      36.40
1977/04 18S 179E       8       8.30
1977/04 18S 180W       1       1.20
1977/04 19S 179E       5       5.50
1977/04 19S 180W       1       1.40
1977/05 16S 178E      10      46.90
1977/05 16S 179E       8      38.20
1977/05 16S 180W       7      27.00
1977/05 17S 178E       1       3.10
1977/05 17S 179E      23      86.50
1977/05 17S 180W       3       9.70
1977/05 18S 179E       1       2.00
1977/05 19S 177E      11      20.20
1977/06 16S 178E      11      35.20
1977/06 16S 179E       5      12.10
1977/06 17S 179E      37      83.60
1977/06 17S 180W       1       3.50
1977/06 19S 177E       8       6.70
1977/07 16S 178E      12      18.10
1977/07 17S 177E       1       2.30
1977/07 17S 178E       1        .00
1977/07 17S 179E      35      64.40
1977/08 16S 178E      10       3.60
1977/08 17S 179E       2        .80
1977/10 16S 178E       5       1.40
1977/10 16S 179E       1        .10
1977/10 17S 179E      12       8.30
1977/10 18S 179E       2        .50
1977/11 16S 178E      16      11.50
1977/11 16S 179E       9      13.20
1977/11 16S 180W       2        .50
1977/11 17S 179E      12       6.80
1977/12 16S 178E       5       6.20
1977/12 16S 179E       2       2.90
1977/12 16S 180W       3       5.80
1977/12 17S 178E       2        .40
1977/12 17S 179E      13      15.40
1977/12 17S 180W       4       1.70
1977/12 18S 178E       2       1.80
1977/12 18S 179E      18      19.30
1977/12 18S 180W       2       1.30
1977/12 19S 178E       5       9.60
1977/12 19S 179E       2       2.80
1977/12 20S 177E      20      58.00
1977/12 20S 178E       4       7.80
1978/01 17S 179E       9      15.90
1978/01 18S 178E       3       3.60
1978/01 18S 179E      11      16.70
1978/01 19S 177E       1        .10
1978/01 19S 178E       2       2.30
1978/01 20S 177E      49     170.40
1978/01 20S 178E      11      32.60
1978/02 17S 179E       5       6.40
1978/02 18S 178E       2        .40
1978/02 18S 179E       3       3.90
1978/02 19S 177E      28     113.00
1978/02 19S 178E       3       2.80
1978/02 20S 177E      40     134.50
1978/02 20S 178E       4      11.80
1978/03 17S 179E      23      47.70
1978/03 17S 180W       1        .00
1978/03 18S 178E       4       3.40
1978/03 18S 179E      15      28.20
1978/03 18S 179W       2       3.10
1978/03 18S 180W      39     143.10
1978/03 19S 177E      19      39.40
1978/03 19S 178E       6       3.40
1978/03 19S 179E       1        .10
1978/03 20S 177E       4       7.70
1978/03 20S 178E       1       2.90
1978/04 16S 178E       1       7.40
1978/04 16S 179E       1       2.70
1978/04 17S 179E      31     107.80
1978/04 17S 180W       3        .40
1978/04 18S 178E      18      35.90
1978/04 18S 179E      22      80.50
1978/04 18S 180W      31     190.10
1978/05 16S 178E       9      55.40
1978/05 16S 179E       3       6.60
1978/05 17S 179E      47     137.50
1978/05 18S 178E       5      10.70
1978/05 18S 179E      23      42.20
1978/05 18S 180W      14      31.90
1978/05 19S 179E       7       3.40
1978/06 16S 179E       9      20.10
1978/06 16S 180W       2        .30
1978/06 17S 179E      33      50.80
1978/06 17S 180W      10      11.70
1978/06 18S 178E       7       9.00
1978/06 18S 179E      29      53.40
1978/06 18S 180W       5       2.70
1978/06 19S 178E       1        .00
1978/06 19S 179E       5       1.80
1978/07 16S 178E       5       4.00
1978/07 16S 179E       1        .30
1978/07 17S 177E       1       1.00
1978/07 17S 179E      36      45.30
1978/07 17S 180W       1       1.40
1978/07 18S 178E       1        .00
1978/07 18S 179E       7       2.30
1978/07 18S 180W       9       8.00
1978/07 19S 177E       3       3.10
1978/07 19S 179E       2       2.10
1980/01 17S 179E       5       8.00
1980/01 18S 179E      33      48.50
1980/01 18S 180W       5      13.60
1980/01 19S 177E       3       3.00
1980/01 19S 178E       2       1.10
1980/01 19S 179E      12      21.40
1980/01 19S 180W       3      10.50
1980/01 20S 177E      12      18.80
1980/01 20S 178E       2       3.80
1980/01 20S 179W       1       1.50
1980/02 16S 179E       1       8.20
1980/02 17S 179E      11      17.70
1980/02 18S 178E       4        .90
1980/02 18S 179E       4       1.30
1980/02 18S 180W       2       2.50
1980/02 19S 177E      12      46.20
1980/02 19S 178E       2       3.00
1980/02 19S 179E       2        .80
1980/02 20S 177E       4      14.40
1980/03 16S 180W       1       1.40
1980/03 17S 178E       2       7.00
1980/03 17S 179E      19      27.90
1980/03 17S 180W       2       3.00
1980/03 18S 178E       2       4.20
1980/03 18S 179E      12      26.50
1980/03 18S 180W      21      97.30
1980/03 19S 177E       6      18.40
1980/03 19S 179E       5      12.70
1980/04 16S 180W       2       1.70
1980/04 17S 178E       2       3.80
1980/04 17S 179E      15      23.80
1980/04 17S 180W       4       8.90
1980/04 18S 178E      12       8.80
1980/04 18S 179E      13      19.30
1980/04 18S 180W      10      16.00
1980/04 19S 177E       9      19.10
1980/04 19S 179E       1       3.20
1980/04 20S 177E       1       2.30
1980/05 16S 178W       3       8.90
1980/05 17S 178E       4       3.30
1980/05 17S 179E      49      42.70
1980/05 18S 178E       3        .80
1980/05 18S 179E       2        .30
1980/05 19S 177E       1        .00
1980/06 16S 178W       6       8.60
1980/06 16S 180W       6       1.40
1980/06 17S 179E       1        .00
1980/06 19S 179E       1      10.70
1980/06 19S 179W       2       3.70
1980/06 20S 179E       1      11.10
1980/06 20S 179W       2       4.00
1980/07 15S 180W       5      25.70
1980/07 16S 178E       1        .00
1980/07 16S 180W       3      16.00
1980/07 17S 179E       4       4.90
1980/07 17S 180W       1        .40
1980/07 18S 179E       1        .00
1980/07 18S 180W       2        .40
1980/07 19S 176E       1        .00
1980/07 19S 180W       2       2.80
1980/08 15S 180W       2       2.80
1980/08 16S 179E       3       8.00
1980/08 16S 180W       2       3.70
1980/08 17S 179E      13      10.90
1980/09 15S 180W       3       2.30
1980/09 16S 177E       2        .00
1980/09 16S 178W       5      11.40
1980/09 16S 179E       3       1.70
1980/09 16S 179W       2      17.90
1980/09 17S 179E       3       2.00
1980/09 18S 178W       4      18.80
1980/09 19S 180W       2       1.20
1980/09 21S 178W       1        .70
1981/01 16S 180W       3        .00
1981/01 17S 179E       6      39.50
1981/01 17S 179W       6      11.30
1981/01 17S 180W       2       1.60
1981/01 18S 178E       1       3.00
1981/01 18S 179E      22      14.60
1981/01 18S 180W      17      14.00
1981/01 19S 177E      27      54.50
1981/01 19S 178E       9      20.00
1981/01 19S 179E      20      12.40
1981/01 19S 180W       1       3.00
1981/01 20S 177E      16       8.60
1981/01 20S 178E       3       3.60
1981/02 16S 178E       1      16.70
1981/02 16S 179E       3       5.00
1981/02 16S 180W       6      10.00
1981/02 17S 179E       1        .00
1981/02 17S 179W       5      10.90
1981/02 17S 180W      12      55.30
1981/02 18S 179E       2        .00
1981/02 18S 179W       5      20.00
1981/02 18S 180W      20       6.00
1981/02 19S 177E       1        .00
1981/02 19S 179E       4       5.00
1981/02 19S 180W       2      10.90
1981/02 20S 177E       3        .00
1981/03 16S 179E       7       8.00
1981/03 16S 180W       4      14.50
1981/03 17S 178W       2      32.00
1981/03 17S 179E       2        .00
1981/03 17S 179W      18      41.60
1981/03 17S 180W       9      33.30
1981/03 18S 178W       1       1.10
1981/03 18S 179W       9       3.00
1981/03 18S 180W      10       1.00
1981/03 19S 177E       6      13.10
1981/03 19S 179E       1        .00
1981/03 19S 179W       1        .00
1981/03 20S 179E       2        .00
1981/04 16S 178W       1        .00
1981/04 16S 179E       3        .00
1981/04 16S 180W      10      35.10
1981/04 17S 179E       8        .00
1981/04 17S 179W      17       2.10
1981/04 17S 180W       1        .00
1981/04 18S 179E       7        .00
1981/04 18S 179W       2        .00
1981/04 18S 180W      10        .00
1981/04 19S 177E       3       4.30
1981/04 19S 179E       3        .00
1981/04 19S 180W       1        .00
