1977/01 00N 138E       1      18.00
1977/01 00N 140E       9     206.80
1977/01 00N 141E      15     236.70
1977/01 00N 142E      19     321.00
1977/01 00N 143E       5     122.00
1977/01 01N 139E       1       3.00
1977/01 01N 142E       1        .00
1977/01 01S 139E       1       1.50
1977/01 01S 140E       6      43.90
1977/01 01S 141E      18     345.20
1977/01 01S 142E      10     136.50
1977/01 01S 143E       6     132.00
1977/01 02N 140E       1        .00
1977/01 02S 143E       1      10.00
1977/01 03N 134E       2      18.00
1977/02 00N 135E       5     146.00
1977/02 00N 136E       7     191.50
1977/02 00N 137E       9     184.60
1977/02 00N 139E       3       6.60
1977/02 00N 140E       2      69.00
1977/02 00N 142E       1        .00
1977/02 01N 138E       1       5.00
1977/02 01N 141E       1      48.00
1977/02 01S 137E       3      34.80
1977/02 01S 138E       5      29.30
1977/02 01S 139E      19     376.90
1977/02 01S 140E       8     144.50
1977/02 01S 141E       9      85.00
1977/02 01S 143E       5     188.00
1977/02 01S 144E       4      40.00
1977/02 02N 141E       3      18.00
1977/02 02S 139E       4      40.00
1977/02 02S 140E       2      11.00
1977/03 00N 134E       3      38.00
1977/03 00N 135E       1      16.00
1977/03 00N 138E       1        .00
1977/03 00N 139E       2      19.00
1977/03 00N 140E       1        .00
1977/03 00N 141E       1        .00
1977/03 01N 135E       1      27.00
1977/03 01N 138E       1      24.90
1977/03 01S 135E       1      23.10
1977/03 01S 139E       2       5.00
1977/03 01S 140E       5      15.00
1977/03 01S 142E       1       7.00
1977/03 01S 143E       1      15.00
1977/03 02N 139E       1        .00
1977/03 02S 140E       4      50.00
1977/03 02S 141E       1      10.00
1977/03 02S 142E       2       3.00
1977/03 03N 138E       2        .00
1977/03 03N 139E       1       3.00
1977/03 03N 141E       1       3.80
1977/03 04N 138E       2      11.60
1977/04 00N 138E       2      52.00
1977/04 00N 141E       1        .00
1977/04 00N 144E       2      18.00
1977/04 01N 140E       3       2.00
1977/04 01N 141E       2      69.00
1977/04 01N 144E       3      19.50
1977/04 01S 139E       1        .00
1977/04 01S 140E       1        .00
1977/04 01S 142E       1        .00
1977/04 01S 143E       1      13.00
1977/04 01S 144E       1      13.00
1977/04 01S 145E       1        .00
1977/04 02N 139E       1      14.00
1977/04 02N 140E       3      82.00
1977/04 02N 141E       1        .00
1977/04 02N 142E       2        .00
1977/04 02N 143E       1      19.00
1977/04 03N 139E       3      51.00
1977/04 03N 140E       3      27.50
1977/04 03N 142E       2      37.50
1977/04 03N 143E       3      48.00
1977/04 03N 144E       1        .00
1977/04 03S 140E       1        .00
1977/04 04N 139E       4     125.00
1977/04 04N 140E       1       3.00
1977/04 04N 142E       2     141.00
1977/04 04N 143E       1        .00
1977/04 05N 139E       1      25.00
1977/04 09S 161E       1        .50
1977/05 00N 139E       1        .00
1977/05 00N 140E       2      18.00
1977/05 00N 141E       3      72.40
1977/05 00N 142E       5     134.20
1977/05 01N 137E       1      15.00
1977/05 01N 138E       8      96.80
1977/05 01N 139E       5      44.00
1977/05 01N 140E      10     140.00
1977/05 01N 141E       7     187.30
1977/05 01N 142E       6     115.00
1977/05 01S 137E       1      23.00
1977/05 02N 137E       4      45.50
1977/05 02N 138E       9      93.40
1977/05 02N 139E       7      73.50
1977/05 02N 140E      11     119.50
1977/05 02N 141E       2      45.00
1977/05 03N 138E       1       8.00
1977/05 03N 139E       1      15.60
1977/05 03N 141E       2       4.00
1977/05 03N 142E       2      14.00
1977/05 04N 140E       3      49.00
