1977/01 02S 147E       7       1.56
1977/01 03S 147E       3       1.26
1977/01 03S 150E      16       2.53
1977/01 06S 148E       9       3.41
1977/01 06S 149E       2       1.40
1977/01 07S 148E      52      37.76
1977/01 07S 149E     221     160.75
1977/01 07S 150E     133     265.14
1977/01 07S 151E       1       1.17
1977/02 02S 150E       3       1.50
1977/02 03S 150E       2        .50
1977/02 04S 150E       8      12.80
1977/02 04S 151E      46     156.52
1977/02 05S 151E       3        .00
1977/02 05S 152E       1       1.00
1977/02 07S 148E      34      76.46
1977/02 07S 149E      78     170.37
1977/02 07S 150E      11      15.02
1977/02 10S 146E       2        .00
1977/03 02S 150E      16      10.37
1977/03 03S 150E      72      56.52
1977/03 04S 150E      49      39.52
1977/03 04S 151E      73     125.15
1977/03 05S 151E      35      51.74
1977/03 06S 148E       1        .00
1977/03 06S 149E       2        .00
1977/03 06S 150E       1        .00
1977/03 07S 148E      10      14.10
1977/03 07S 149E     115     111.66
1977/03 07S 150E      18      15.91
1977/04 02S 147E       7      12.95
1977/04 02S 149E      18      36.09
1977/04 02S 150E     117     331.40
1977/04 03S 149E      28      79.07
1977/04 03S 150E     177     397.76
1977/04 04S 149E       1        .27
1977/04 04S 150E      59      57.98
1977/04 04S 151E     150     252.87
1977/04 05S 150E      30      40.62
1977/04 05S 151E     192     258.38
1977/04 06S 148E       2       4.38
1977/04 06S 149E      22      45.51
1977/04 06S 150E       3        .00
1977/04 07S 148E      11      21.86
1977/04 07S 149E      45      63.93
1977/05 02S 146E       5       4.37
1977/05 02S 147E      56      57.23
1977/05 02S 149E       7      10.22
1977/05 02S 150E      86     109.53
1977/05 02S 151E       1       4.56
1977/05 03S 146E       1        .04
1977/05 03S 147E      22      19.68
1977/05 03S 149E      15      29.86
1977/05 03S 150E      51      66.84
1977/05 04S 149E       6      10.17
1977/05 04S 150E     283     547.05
1977/05 04S 151E     275     739.03
1977/05 05S 150E      34      58.92
1977/05 05S 151E     210     339.22
1977/05 06S 148E      20      52.12
1977/05 06S 149E      54     124.93
1977/05 06S 150E      13      10.23
1977/05 07S 149E      25      25.49
1977/06 01S 151E       1       1.45
1977/06 02S 146E      58     102.15
1977/06 02S 147E      99     241.37
1977/06 02S 149E      14      10.60
1977/06 02S 150E     182     955.55
1977/06 03S 147E      12      15.50
1977/06 03S 149E      47      58.56
1977/06 03S 150E      94     220.90
1977/06 04S 149E      15      14.11
1977/06 04S 150E     170     248.10
1977/06 04S 151E     243     439.12
1977/06 05S 150E      17      30.86
1977/06 05S 151E     103     106.14
1977/06 06S 148E       5       8.17
1977/06 06S 149E      14      28.38
1977/06 06S 150E       2       1.83
1977/07 02S 145E       2       2.42
1977/07 02S 146E     125     635.46
1977/07 02S 147E     143     579.17
1977/07 02S 149E      25      66.87
1977/07 02S 150E     127     560.52
1977/07 02S 151E       1        .24
1977/07 03S 146E       3       2.87
1977/07 03S 147E      19      28.60
1977/07 03S 149E      43      89.33
1977/07 03S 150E     159     566.84
1977/07 03S 151E       6       8.10
1977/07 04S 148E       1       3.88
1977/07 04S 149E      16      50.95
1977/07 04S 150E     149     247.59
1977/07 04S 151E     164     237.07
1977/07 05S 146E       1      11.39
1977/07 05S 150E       6       4.74
1977/07 05S 151E      66      99.95
1977/07 06S 148E       3        .42
1977/07 06S 149E      11       3.29
1977/08 02S 145E       2        .49
1977/08 02S 146E      27      64.43
1977/08 02S 147E     101     242.62
1977/08 02S 149E      13      30.66
1977/08 02S 150E     144     996.61
1977/08 03S 145E       2        .99
1977/08 03S 146E      13      43.08
1977/08 03S 147E      48      61.76
1977/08 03S 149E      45      57.22
1977/08 03S 150E      79     371.83
1977/08 04S 149E      15      22.16
1977/08 04S 150E     188     371.03
1977/08 04S 151E     142     432.00
1977/08 05S 149E       2        .19
1977/08 05S 150E      70     341.06
1977/08 05S 151E     175     623.57
1977/08 06S 148E       2       2.00
1977/08 06S 149E      23      25.52
1977/08 06S 150E       1        .50
1977/08 07S 149E       1       5.00
1977/09 02S 146E      44      85.42
1977/09 02S 147E      89     203.44
