# polygons of approximate EEZ boundaries
# originated at the SPC/TBAP in the 1980s
# other areas added subsequently by Sibert
#
# number of polygons
47
# Hawaii EEZ
206 16
206.6 16.3
207 16.5
207.6 17
208 17.5
208.4 18
208.6 18.5
208.7 19
208.7 19.5
208.6 20
208.5 20.4
208.4 20.6
208.2 21
208 21.4
207.5 21.8
207.4 22
207.2 22.5
207 22.7
206.7 23
206.1 23.5
206 23.7
205.5 23.9
205 24
204.5 24.2
204 24.4
203.7 24.6
203.4 24.7
203 24.9
202.8 24.9
202.7 25
202 25.4
201 25.57
200 26
199.2 26.2
198.8 26.3
198 26.5
197.5 26.57
197 26.6
196 26.5
195.8 26.4
195.3 27
195 27.3
194.5 27.7
194 27.8
193.7 28
193 28.1
192.6 28.2
192 28.1
191.6 28
191.1 27.7
191 28
190.7 28.3
190.5 28.5
190.35 28.55
190 28.65
189 28.95
188.7 29
188.3 29.1
188 29
187.5 29.25
187 29.35
186 29.5
185.3 29.35
185 30
184.6 30.5
184 31
183 31.45
182 31.65
181.5 31.7
181 31.65
180 31.5
179 31
178.5 30.5
178.1 29.5
177.9 29
177.8 28
177.9 27.7
178.1 27
178.85 26.3
179.5 26
180.2 25.8
179.7 25.93
181.2 25.9
182.2 26.2
182.7 25
182.9 24.5
183 24.2
183.1 24
183.55 23.5
184 23.25
184.3 23
185 22.7
186 22.5
186.4 22.4
187.2 22.7
188 22.45
188.5 22.3
189 22.5
189.7 22.6
190.7 22
191 21.65
191.6 21.35
192 21
193 20.6
194 20.4
195 20.6
196 20.2
196.4 20
196.8 19.9
197 19.7
197.8 19
198 18.9
199 18.6
200 18.5
200.8 18
201 17.7
201.4 17
202 16.4
202.65 16
203 15.7
203.5 15.6
204 15.55
204.2 15.5
205 15.65
205.55 15.85
206 16
# Johnson Island EEZ
191 20
192.5 19.5
193 19
193.5 18.5
193.7 18
194 17.2
194 17
194.1 16.7
194 16.3
193.9 16
193.7 15.5
193.4 15
193 14.5
192.5 14
192 13.7
191.5 13.5
191 13.4
190.9 13.45
189.5 13.6
189 13.8
188.65 14
188 14.5
187.6 15
187.45 15.3
187.25 15.6
187.15 16
187.05 16.8
187.1 17
187.2 17.4
187.3 18
187.65 18.6
188 19
188.5 19.4
189 19.7
190 20
190.5 20.1
191 20
# Jarvis Island EEZ
197.6 2
197.2 1
197 0.5
196.9 0
196.85 -0.6
196.95 -1
197.15 -1.6
197.3 -2
197.75 -2.5
198 -2.95
198.6 -3.2
199.5 -3.5
200.4 -3.6
201.75 -3.2
203 -1.53
201.77 0.17
200.48 1.72
198.2 2.03
197.6 2
# American Samoa EEZ
189.4 -12.97
188.1 -15.5
188.9 -16.9
189.95 -16.7
190.9 -16.8
192 -17.2
193.4 -17.6
194.8 -15.5
194.3 -14
191.5 -11.5
191.5 -10.1
188.1 -10.17
185.65 -11
185.7 -11.3
189.4 -12.97
# Palymyra Atoll EEZ
194.55 7
194.5 6
194.75 5
195 4.3
195.15 4
195.75 3.55
196.35 3.05
196.92 2.68
200.62 7.88
199.05 9.15
198.6 9.4
197.8 9.45
197 9.35
196.05 9.05
195.55 8.6
194.95 8
194.55 7
# Howland & Baker Islands EEZ
179.95 1
180 0
180.25 -0.8
180.7 -1.75
181.35 -2.4
182 -2.7
182.62 -2.95
186.28 -0.72
186.83 0.23
186.6 1.75
186.35 2
185.8 3
185 3.7
184.25 4
183.2 4.05
182.3 3.95
181.5 3.5
180.9 2.9
180.5 2.3
180.1 1.65
179.95 1
# Wake Island EEZ
163.2 20
163.1 19.2
163.45 18.1
163.95 17.4
164.6 16.6
165.7 16.05
170 18
170.25 19
170.2 20
169.85 20.7
169.35 21.5
168.7 22
168 22.35
166.8 22.65
165.65 22.5
164.8 22.1
164 21.4
163.6 21
163.2 20
# North Mariana Islands EEZ
142 15.5
148.2 12.4
148.4 13
148.9 13.7
149.4 15
149.35 15.7
149.25 16
149.35 17
149.4 17.8
