1977/10 02S 146E     3 
1977/10 03S 149E     197 
1977/10 04S 150E    13 
                     AY02118                U    
1977/10 04S 151E     2 
1977/10 04S 153E     1 
1977/10 06S 152E     2 
1977/10 08S 155E  1177 
                     AB07070 1977/10 08S 155E PL   
                     AB07070 1977/10 08S 155E PL   
                     AB07070 1977/10 08S 155E PL   
                     AB07070 1977/10 08S 155E PL   
                     AB07194 1978/05 09S 160E PL VV
                     AB05432 1978/06 03S 150E PL ZZ
                     AB06825 1978/09 10S 158E PL VV
                     AB05783 1978/09 10S 159E PL VV
                     AB07162 1978/12 09S 158E PL VV
                     AB05572 1978/12 09S 159E PL VV
                     AB05755 1978/12 09S 159E PL VV
                     AB07401 1978/12 10S 159E PL VV
                     AB06919                U    
1977/11 08S 155E    11 
1977/11 08S 157E    65 
                     AB07338 1977/12 10S 159E PL VV
                     AB07349 1979/01 09S 159E PL VV
1977/11 08S 158E     5 
1977/11 09S 157E     1 
1977/11 09S 158E  1512 
                     AY02992 1977/11          PL VV
                     AY02270 1977/11          PL VV
                     AY02407 1977/11          PL VV
                     AY02337 1977/11 09S 157E PL VV
                     AY02339 1977/11 09S 158E PL   
                     AB07264 1977/11 09S 158E PL VV
                     AY02519 1977/11 09S 158E PL VV
                     AY02433 1977/11 09S 158E PL VV
                     AY02135 1977/11 09S 159E PL VV
                     AY03080 1977/11 09S 159E PL VV
                     AY03314 1977/11 09S 159E PL VV
                     AY03147 1977/11 10S 159E PL VV
                     AY03364 1977/11 10S 159E PL VV
                     AY03236 1977/11 10S 159E PL VV
                     AY03402 1977/11 10S 159E PL VV
                     AY02162 1977/11 10S 159E PL VV
                     AY02444 1977/11 10S 159E PL VV
                     AY02526 1977/11 10S 159E PL VV
                     AY02423 1977/11 10S 160E PL VV
                     AY02259 1977/12 09S 156E PL VV
                     AB07487 1977/12 09S 158E PL VV
                     AY02235 1977/12 09S 158E PL VV
                     AY02913 1977/12 09S 158E PL VV
                     AY02541 1977/12 09S 159E PL VV
                     AY03866 1977/12 10S 158E PL VV
                     AY02329 1977/12 10S 159E PL VV
                     AY03283 1978/03          PL VV
                     AY02182 1978/04 08S 157E PL VV
                     AY02363 1978/04 09S 160E PL VV
                     AY03381 1978/05 04S 150E PL ZZ
                     AY03042 1978/05 08S 157E PL VV
                     AY03956 1978/05 08S 157E PL VV
                     AY03375 1978/05 09S 156E PL VV
                     AY03388 1978/05 09S 156E PL VV
                     AY02410 1978/05 09S 160E PL VV
                     AY02276 1978/06 03S 150E PL ZZ
                     AY03041 1978/06 03S 150E PL ZZ
                     AY03939 1978/06 04S 150E PL ZZ
                     AY02994 1978/06 09S 158E PL VV
                     AY03937 1978/07 09S 157E PL VV
                     AY03118 1978/07 10S 159E PL VV
                     AY03546 1978/07          PL VV
                     AY02304 1978/07          PL VV
                     AY02722 1978/07          PL VV
                     AY02713 1978/08 09S 159E PL VV
                     AY02809 1978/08 10S 158E PL VV
                     AY02820 1978/08 10S 159E PL VV
                     AY02314 1978/09          PL VV
                     AY03927 1978/09 09S 158E PL VV
                     AY02338 1978/09 10S 158E PL VV
                     AY02658 1978/10 09S 156E PL VV
                     AY02980 1978/10 10S 159E PL VV
                     AY03525 1978/10 10S 159E PL VV
                     AY03963 1978/10 10S 159E PL VV
                     AY03076 1978/10 10S 160E PL VV
                     AY03103 1978/10 12S 159E PL VV
                     AY02917 1978/11          PL VV
                     AY02486 1978/11 10S 159E PL VV
                     AY03282 1978/11 10S 159E PL VV
                     AY03191 1978/12 09S 158E PL VV
                     AY03905 1978/12 09S 158E PL VV
                     AY03266 1978/12 09S 158E PL VV
                     AY02810 1978/12 09S 158E PL VV
                     AY02472 1979/04 09S 159E PL VV
                     AY02647 1979/04 09S 160E PL VV
                     AY02313                PL VV
                     AY02404                PL VV
                     AY02971                PL VV
                     AB07260                U    
                     AY02679                U    
                     AY03274                U  YY
1977/11 09S 159E    38 
                     AY03641 1978/04 09S 160E PL VV
                     AY03655 1978/09 10S 158E PL VV
                     AY03636 1978/10 10S 160E PL YY
                     AY03347 1978/12 08S 156E PL VV
1977/11 10S 158E   135 
                     AY02763 1977/11 10S 158E PL VV
                     AY03012 1977/11 10S 159E PL VV
                     AY02862 1977/12 09S 158E PL VV
                     AY02922 1977/12 09S 158E PL VV
                     AY02927 1978/09 10S 158E PL VV
                     AY02928 1978/11 08S 157E PL VV
                     AY02876 1978/11 10S 159E PL VV
1977/11 10S 159E     6 
1977/11 11S 160E    91 
1977/12 12S 165E   422 
                     AY04409 1978/02 02S 168E PL YY
                     AY04336 1978/11 09S 160E PL VV
1977/12 17S 167E    54 
                     AY04271 1978/01 17S 167E PL   
1977/12 21S 165E  2352 
                     SA04617 1977/12 21S 165E PL   
                     SA00725 1977/12 22S 165E PL   
                     SA01499 1978/02 22S 165E PL NC
                     SA04728                U    
1977/12 22S 165E  2472 
                     SA00725 1977/12 22S 165E PL   
                     AY04669 1978/01 22S 166E PL   
                     AY05386 1978/02 23S 167E T  NC
                     SA03036 1978/07 10S 158E PL VV
                     AY05307                U    
1977/12 22S 166E  1384 
                     AY05960 1978/01 22S 166E PL   
                     AY06525 1978/01 22S 166E PL   
                     SA00995 1978/01 22S 166E PL   
                     SA01516 1978/07 03S 150E PL ZZ
                     AY06564 1979/03 13N 146E PL YY
1977/12 23S 166E   452 
                     SA05113 1980/01 13S 159E PL YY
1978/01 17S 167E   19752 
                     VV00322 1978/01 17S 167E PL   
                     SA09340 1978/10 08S 157E PL VV
                     SA09760 1978/10 10S 159E PL VV
                     VV00119 1978/10 10S 160E PL VV
                     VV00405 1979/10 03S 150E PL ZZ
                     VV01080 1979/11 10S 159E PL VV
1978/01 17S 168E   250 
1978/01 18S 167E   123 
1978/01 19S 177E    50 
                     VV00618 1978/02 19S 177E PL XX
                     VV00926 1978/02 19S 177E PL XX
                     VV00919 1978/02 20S 177E PL   
                     VV00921 1978/02 20S 177E PL XX
                     VV00771 1978/02 20S 177E PL XX
                     VV00779 1978/02 20S 177E PL XX
                     VV00773 1978/02 20S 177E PL XX
                     VV00783 1978/03 19S 177E PL XX
                     VV00786 1978/03 19S 177E PL XX
1978/01 19S 178E   19779 
                     VV00879 1978/01          PL XX
                     VV00652 1978/01 19S 178E PL   
                     VV00984 1978/02 19S 177E PL   
                     VV00984 1978/02 19S 177E PL   
                     VV00814 1978/02 19S 177E PL XX
                     VV00847 1978/02 19S 177E PL XX
                     VV00944 1978/02 19S 177E PL XX
                     VV01116 1978/02 19S 177E PL XX
                     VV01128 1978/02 19S 177E PL XX
                     VV01132 1978/02 19S 177E PL XX
                     VV01203 1978/02 19S 177E PL XX
                     VV01229 1978/02 19S 177E PL XX
                     VV01204 1978/02 19S 177E PL XX
                     VV01535 1978/02 19S 177E PL XX
                     VV01534 1978/02 19S 177E PL XX
                     VV01520 1978/02 19S 177E PL XX
                     VV01511 1978/02 19S 177E PL XX
                     VV01504 1978/02 19S 177E PL XX
                     VV01293 1978/02 19S 177E PL XX
                     VV01256 1978/02 19S 177E PL XX
                     VV01236 1978/02 19S 177E PL XX
                     VV01616 1978/02 19S 177E PL XX
                     VV01582 1978/02 19S 177E PL XX
                     VV01233 1978/02 19S 177E PL XX
                     VV01183 1978/02 19S 177E PL XX
                     VV01125 1978/02 19S 177E PL XX
                     VV01103 1978/02 19S 177E PL XX
                     VV00283 1978/02 19S 177E PL XX
                     VV00636 1978/02 19S 177E PL XX
                     VV00668 1978/02 19S 177E PL XX
                     VV00694 1978/02 19S 177E PL XX
                     VV00648 1978/02 19S 177E PL XX
                     VV00804 1978/02 19S 177E PL XX
                     VV00801 1978/02 19S 177E PL XX
                     VV00800 1978/02 19S 177E PL XX
                     VV00799 1978/02 19S 177E PL XX
                     VV00798 1978/02 19S 177E PL XX
                     VV00790 1978/02 19S 177E PL XX
                     VV00811 1978/02 19S 178E PL XX
                     VV01141 1978/02 19S 178E PL XX
                     VV00815 1978/02 20S 177E PL XX
                     VV00846 1978/02 20S 177E PL XX
                     VV00861 1978/02 20S 177E PL XX
                     VV01715 1978/02 20S 177E PL XX
                     VV01710 1978/02 20S 177E PL XX
                     VV01620 1978/02 20S 177E PL XX
                     VV01548 1978/02 20S 177E PL XX
                     VV01542 1978/02 20S 177E PL XX
                     VV01539 1978/02 20S 177E PL XX
                     VV01249 1978/02 20S 177E PL XX
                     VV01208 1978/02 20S 177E PL XX
                     VV01175 1978/02 20S 177E PL XX
                     VV01154 1978/02 20S 177E PL XX
                     VV01149 1978/02 20S 177E PL XX
                     VV01146 1978/02 20S 177E PL XX
                     VV01144 1978/02 20S 177E PL XX
                     VV01138 1978/02 20S 177E PL XX
                     VV01528 1978/02 20S 177E PL XX
                     VV01388 1978/02 20S 177E PL XX
                     VV01344 1978/02 20S 177E PL XX
                     VV01297 1978/02 20S 177E PL XX
                     VV01259 1978/02 20S 177E PL XX
                     VV01127 1978/02 20S 177E PL XX
                     VV01115 1978/02 20S 177E PL XX
                     VV00997 1978/02 20S 177E PL XX
                     VV00967 1978/02 20S 177E PL XX
                     VV00950 1978/02 20S 177E PL XX
                     VV00882 1978/02 20S 177E PL XX
                     VV00870 1978/02 20S 177E PL XX
                     VV00643 1978/02 20S 177E PL XX
                     VV00688 1978/02 20S 177E PL XX
